whichSurpriseBlock,old_face_in_surp,new_face_in_surp,which_side_old_face_displayed,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNumbers_text_2.started,errorNum_text_box.started,errorN_key_resp_2.started,errorNum_text_box.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorNumbers_text_3.started,errorPercent_text_box.started,errorN_key_resp_3.started,errorPercent_text_box.text,errorN_key_resp_3.keys,errorN_key_resp_3.rt,botherRate_text.started,bother_text_box.started,botherRate_key_resp.started,bother_text_box.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,text_2.started,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,thisISI3,polygon.started,polygon.stopped,text.started,old_face_image.started,new_face_image.started,instructsurpA1_right.started,instructsurpA2_left.started,surprise_key_resp.started,surprise_key_resp.keys,surprise_key_resp.rt,id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,9.619923791964538,9.619923791964538,c,1.4419024999951944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,11.088377624982968,11.088377624982968,c,0.27451737504452467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.432837083935738,11.432837083935738,11.432837083935738,c,space,1.3085300830425695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.757203041925095,12.757203041925095,12.757203041925095,,space,0.29949925001710653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.072310667019337,13.072310667019337,13.072310667019337,,space,0.3138408340746537,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.401166666997597,13.401166666997597,c,1.0839836251689121,,,,,,,,,,,,,,,,,,,,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.495674334000796,k,1.015437083085999,,,,,,,,,,,,,,,,,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
surp_table1.csv,img/neutralC/CFD-WF-002-004-N.jpg,img/neutralC/CFD-WM-240-125-N.jpg,right,,,,,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.560914833913557,15.560914833913557,15.560914833913557,k,0.5866209170781076,0.8751879699248121,18.71280516695697,19.691862458945252,17.322494666907005,17.322494666907005,17.322494666907005,17.322494666907005,17.322494666907005,17.322494666907005,k,1.3792484591249377,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
surp_table1.csv,img/neutralC/CFD-BF-237-172-N.jpg,img/neutralC/CFD-IM-725-142-N.jpg,left,,,,,,,,,0,0,0,0,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81203007518797,20.650729416985996,21.55769329192117,19.691862458945252,19.691862458945252,19.691862458945252,19.691862458945252,19.691862458945252,19.691862458945252,k,0.9269966660067439,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
surp_table1.csv,img/neutralC/CFD-IF-642-295-N.jpg,img/neutralC/CFD-AM-234-355-N.jpg,right,,,,,,,,,0,0,0,0,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8481203007518796,22.776881208992563,23.704019916942343,21.55769329192117,21.55769329192117,21.55769329192117,21.55769329192117,21.55769329192117,21.55769329192117,k,1.2086781660327688,,2025-01-29_00h13.58.154,mfe_c_face,2022.2.4,None,
