whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,id,date,expName,psychopyVersion,frameRate,
flanker_practice_block.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-215-145-N.jpg,"[0.035, 0.035]",0,0,0,0,0,0,0,6,13.124079833971336,13.124079833971336,13.124079833971336,k,0.17799995804671198,13.34732158400584,3.850701402805611,15.494365792023018,15.494365792023018,15.494365792023018,15.494365792023018,15.68975333403796,15.840323374955915,19.454087499994785,19.454087499994785,None,0,,2025-01-29_00h13.04.359,mfe_c_face,2022.2.4,None,
flanker_practice_block.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AF-216-106-N.jpg,"[0.035, 0.035]",0,0,0,0,0,1,1,15,,,,,,,3.6432865731462925,19.454087499994785,19.454087499994785,19.479794709011912,19.454087499994785,19.673702416941524,19.796478874981403,23.206007916945964,23.206007916945964,None,0,,2025-01-29_00h13.04.359,mfe_c_face,2022.2.4,None,
flanker_practice_block.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-010-004-N.jpg,"[0.035, 0.035]",0,0,0,0,0,2,2,0,,,,,,,3.6523046092184366,23.206007916945964,23.206007916945964,23.22947237500921,23.206007916945964,23.42424854193814,23.549632041947916,26.964386584004387,26.964386584004387,None,0,,2025-01-29_00h13.04.359,mfe_c_face,2022.2.4,None,
flanker_practice_block.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-239-155-N.jpg,"[0.035, 0.035]",0,0,0,0,0,3,3,13,,,,,,,3.965931863727455,26.964386584004387,26.964386584004387,26.989778958959505,26.964386584004387,27.179447124945,27.313519084011205,31.02860545902513,31.02860545902513,None,0,,2025-01-29_00h13.04.359,mfe_c_face,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.975951903807615,31.02860545902513,31.02860545902513,31.064528084010817,31.02860545902513,31.257105416967534,31.373109709005803,,,,,,,,,,
