whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,id,date,expName,psychopyVersion,frameRate,
flanker_practice_block.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-213-056-N.jpg,"[0.035, 0.035]",0,0,0,0,0,0,0,10,17.20753674999287,17.20753674999287,17.20753674999287,k,2.79261299900827,20.026023416998214,3.5490981963927855,22.186755542003084,22.186755542003084,22.186755542003084,22.186755542003084,22.385072416989715,22.53087579199928,25.826463916993816,25.826463916993816,None,0,999,2024-10-10_12h17.31.372,mfe_c_face,2022.2.4,None,
flanker_practice_block.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-224-126-N.jpg,"[0.035, 0.035]",0,0,0,0,0,1,1,2,,,,,,,3.8697394789579156,25.826463916993816,25.826463916993816,25.868507374994806,25.826463916993816,26.064084375000675,26.169838542002253,29.791799500002526,29.791799500002526,None,0,999,2024-10-10_12h17.31.372,mfe_c_face,2022.2.4,None,
flanker_practice_block.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-031-027-N.jpg,"[0.035, 0.035]",0,0,0,0,0,2,2,16,,,,,,,3.81062124248497,29.791799500002526,29.791799500002526,29.830617375002475,29.791799500002526,30.01870366699586,30.13677454199933,33.7162782499945,33.7162782499945,None,0,999,2024-10-10_12h17.31.372,mfe_c_face,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.7424849699398797,33.7162782499945,33.7162782499945,33.73153866699431,33.7162782499945,33.91830641699198,34.064023792001535,,,,,,,,,,
